,Values
RMSE - Baseline,5.549498808068237
R2 - Baseline,0.8944432413537498
Linear RMSE - Baseline,1.1050164333619235
Linear R2 - Baseline,-1.6328526350625743
SGD RMSE - Baseline,360335331397286.25
SGD R2 - Baseline,-2.7996437590125586e+29
Linear RMSE - Only Headlines,2.1526859960869946
Linear R2 - Only Headlines,-61.15086178545458
SGD RMSE - Only Headlines,470115951904011.44
SGD R2 - Only Headlines,-2.964119848073082e+30
XGB RMSE - Only Headlines,5.7313118311253906
XGB R2 - Only Headlines,-439.5486354845048
Linear RMSE - Only Twitter,1.329787057102802
Linear R2 - Only Twitter,-2.8128812658165825
SGD RMSE - Only Twitter,402036597488838.1
SGD R2 - Only Twitter,-3.485140218176858e+29
XGB RMSE - Only Twitter,3.3245102012282266
XGB R2 - Only Twitter,-22.83111805203524
Linear RMSE - All,3.0175612080181144
Linear R2 - All,-121.123139334875
SGD RMSE - All,237564707815662.9
SGD R2 - All,-7.569193886939029e+29
XGB RMSE - All,5.1043188379657
XGB R2 - All,-348.43095305078305
RF RMSE - All,2.2069993002215433
RF R2 - All,-64.32661793994781
